1,persona persona fatti trovare te lo do volentieri e ti sborro in bocca ,1,1
2,donna tu dovresti ricominciare dai semafori a fare la lavavetri ma tranquilla tanto il vitalizio ti resterà in gola ,1,1
3,amore sei presentabile perché così via skype ti faccio conoscere i miei parenti e fu così che da un tablet ho conosciuto i parenti terroni della mia tettona prendendomi un avete già finito di pranzare beh si voi al nord siete diversi dal nord è tutto a voi ,1,1
4,uomo salvo poi mandare la culona a mosca aummaumma per farsi dare da putin commesse multimiliardarie e metterlo in quel posto ai fratelli della ue tra i quali noi ,1,0
5,donna persona vediamo gentiloni è ora di finirla di essere servili pensiamo al danno che la francia ci ha fatto con sarkosy e la culona della merkel con il bombardamento della libia ,1,1
6,persona che cagna che sei anche io voglio fare pasqua cosi con te mm ,1,1
7,uomo bella figa da scopare ,1,1
8,puttana ma che cazzo ne sai tu ma la smetti ,1,1
9,persona ti inculo ,1,1
10,finalmente di nuovo con la mia polpettona culona coccodrillona ,1,1
11,donna che puttanone ,1,1
12,persona ti scopo la figa ,1,1
13,mi è piaciuto un video di uomo 20 motivi per uscire con una tettona ,1,1
14,donna ah tettona ,1,0
15,uomo donna hai visto suoi stories la tettona ,1,0
16,uomo uomo persona abbiamo già avuto monti ed abbiamo visto cosa ha fatto assieme alla fornero servi dell europa leccaculi della culona e di sarkozy ,1,1
17,comunque chiara ferragni tettona sicuramente fra i regali più belli di questo 2018 ,1,1
18,uomo il problema è sorto da quando il premier francese fece assassinare gheddafi in combutta con il presidente usa e la culona tedesca ,1,1
19,donna persona marica seguimi ti scopo io troia ,1,1
20,zitta puttana ti metto i coglioni in gola ,1,1
21,isola sto rivedendo replica dell isola elena schifosa lurida ma chiudi la boccaccia cattiva perfida ,1,1
22,persona puttanona adorata ,1,1
23,persona perché sei una figa di legno giusto ,1,1
24,tremenda culona rica persona ,1,0
25,persona che tettona ,1,0
26,donna loro purtroppo hanno dei problemi tu invece i problemi li hai creati e continui imperterrita a crearli quando sarà che ti togli definitivamente dai coglioni rendi il maltolto e vai a vangare sparisci figa di legno ,1,1
27,donna non sparire però tettona bella ,1,0
28,mi fa schifo al cazzo lei e la sua mentalità di merda porca puttana ma muori ,1,1
29,uomo grande laurito quindi la asia argento ci sta dicendo che quasi tutte quelle che hanno avuto successo premi riconoscimenti sono delle gran puttane e che lei non da è offesa perchè oltre ad iniezione di carne non ha avuto altro ,1,1
30,non ho voglia di lasciare il mio lago per farmi 3 ore fino a malpensa per la mia tettona che pallee ,1,0
31,rt persona uomo che troia che sei ,1,1
32,persona donna ti sborro sulla lingua ovviamente ,1,1
33,come diventare un puttanone da battaglia tramite uomo ,1,1
